iteration,current_cost,best_cost,temperature
1,3.11008e+06,3.11008e+06,1000
2,3.11008e+06,3.11008e+06,1000
3,3.11008e+06,3.11008e+06,1000
4,3.11008e+06,3.11008e+06,1000
5,3.11008e+06,3.11008e+06,1000
6,3.11008e+06,3.11008e+06,1000
7,3.11008e+06,3.11008e+06,1000
8,3.11008e+06,3.11008e+06,1000
9,3.11008e+06,3.11008e+06,1000
10,3.11008e+06,3.11008e+06,1000
11,3.11045e+06,3.11008e+06,1000
12,3.11045e+06,3.11008e+06,1000
13,3.11085e+06,3.11008e+06,1000
14,3.11085e+06,3.11008e+06,1000
15,3.11085e+06,3.11008e+06,1000
16,3.11085e+06,3.11008e+06,1000
17,3.11133e+06,3.11008e+06,1000
18,3.11133e+06,3.11008e+06,1000
19,3.11133e+06,3.11008e+06,1000
20,3.11085e+06,3.11008e+06,1000
21,3.11085e+06,3.11008e+06,1000
22,3.11085e+06,3.11008e+06,1000
23,3.11085e+06,3.11008e+06,1000
24,3.11085e+06,3.11008e+06,1000
25,3.11085e+06,3.11008e+06,1000
26,3.11099e+06,3.11008e+06,1000
27,3.11099e+06,3.11008e+06,1000
28,3.11099e+06,3.11008e+06,1000
29,3.11099e+06,3.11008e+06,1000
30,3.11099e+06,3.11008e+06,1000
31,3.11099e+06,3.11008e+06,1000
32,3.11098e+06,3.11008e+06,1000
33,3.11083e+06,3.11008e+06,1000
34,3.11083e+06,3.11008e+06,1000
35,3.11083e+06,3.11008e+06,1000
36,3.11083e+06,3.11008e+06,1000
37,3.11083e+06,3.11008e+06,1000
38,3.11126e+06,3.11008e+06,1000
39,3.11126e+06,3.11008e+06,1000
40,3.11126e+06,3.11008e+06,1000
41,3.11126e+06,3.11008e+06,1000
42,3.11083e+06,3.11008e+06,1000
43,3.11083e+06,3.11008e+06,1000
44,3.11083e+06,3.11008e+06,1000
45,3.11083e+06,3.11008e+06,1000
46,3.11083e+06,3.11008e+06,1000
47,3.11083e+06,3.11008e+06,1000
48,3.11083e+06,3.11008e+06,1000
49,3.11083e+06,3.11008e+06,1000
50,3.11083e+06,3.11008e+06,1000
51,3.11083e+06,3.11008e+06,1000
52,3.11083e+06,3.11008e+06,1000
53,3.11083e+06,3.11008e+06,1000
54,3.11083e+06,3.11008e+06,1000
55,3.11083e+06,3.11008e+06,1000
56,3.11083e+06,3.11008e+06,1000
57,3.11083e+06,3.11008e+06,1000
58,3.11084e+06,3.11008e+06,1000
59,3.11084e+06,3.11008e+06,1000
60,3.11084e+06,3.11008e+06,1000
61,3.11084e+06,3.11008e+06,1000
62,3.11084e+06,3.11008e+06,1000
63,3.11084e+06,3.11008e+06,1000
64,3.11084e+06,3.11008e+06,1000
65,3.11084e+06,3.11008e+06,1000
66,3.11084e+06,3.11008e+06,1000
67,3.11084e+06,3.11008e+06,1000
68,3.11126e+06,3.11008e+06,1000
69,3.11126e+06,3.11008e+06,1000
70,3.11135e+06,3.11008e+06,1000
71,3.11135e+06,3.11008e+06,1000
72,3.11135e+06,3.11008e+06,1000
73,3.11135e+06,3.11008e+06,1000
74,3.11135e+06,3.11008e+06,1000
75,3.11135e+06,3.11008e+06,1000
76,3.11135e+06,3.11008e+06,1000
77,3.11093e+06,3.11008e+06,1000
78,3.11083e+06,3.11008e+06,1000
79,3.11083e+06,3.11008e+06,1000
80,3.11083e+06,3.11008e+06,1000
81,3.11083e+06,3.11008e+06,990
82,3.11083e+06,3.11008e+06,990
83,3.11083e+06,3.11008e+06,990
84,3.11082e+06,3.11008e+06,990
85,3.11082e+06,3.11008e+06,990
86,3.11082e+06,3.11008e+06,990
87,3.11082e+06,3.11008e+06,990
88,3.11082e+06,3.11008e+06,990
89,3.11082e+06,3.11008e+06,990
90,3.11082e+06,3.11008e+06,990
91,3.11082e+06,3.11008e+06,990
92,3.11082e+06,3.11008e+06,990
93,3.11082e+06,3.11008e+06,990
94,3.11082e+06,3.11008e+06,990
95,3.11082e+06,3.11008e+06,990
96,3.1112e+06,3.11008e+06,990
97,3.1112e+06,3.11008e+06,990
98,3.11082e+06,3.11008e+06,990
99,3.11093e+06,3.11008e+06,990
100,3.11093e+06,3.11008e+06,990
101,3.11093e+06,3.11008e+06,990
102,3.11093e+06,3.11008e+06,990
103,3.11133e+06,3.11008e+06,990
104,3.11133e+06,3.11008e+06,990
105,3.11133e+06,3.11008e+06,990
106,3.11133e+06,3.11008e+06,990
107,3.11133e+06,3.11008e+06,990
108,3.11133e+06,3.11008e+06,990
109,3.11132e+06,3.11008e+06,990
110,3.11132e+06,3.11008e+06,990
111,3.11132e+06,3.11008e+06,990
112,3.11132e+06,3.11008e+06,990
113,3.11104e+06,3.11008e+06,990
114,3.11066e+06,3.11008e+06,990
115,3.11066e+06,3.11008e+06,990
116,3.11066e+06,3.11008e+06,990
117,3.11066e+06,3.11008e+06,990
118,3.11066e+06,3.11008e+06,990
119,3.11104e+06,3.11008e+06,990
120,3.11104e+06,3.11008e+06,990
121,3.11104e+06,3.11008e+06,990
122,3.11104e+06,3.11008e+06,990
123,3.11107e+06,3.11008e+06,990
124,3.11107e+06,3.11008e+06,990
125,3.11107e+06,3.11008e+06,990
126,3.11107e+06,3.11008e+06,990
127,3.11101e+06,3.11008e+06,990
128,3.11101e+06,3.11008e+06,990
129,3.11101e+06,3.11008e+06,990
130,3.11101e+06,3.11008e+06,990
131,3.11101e+06,3.11008e+06,990
132,3.11101e+06,3.11008e+06,990
133,3.11101e+06,3.11008e+06,990
134,3.11101e+06,3.11008e+06,990
135,3.11113e+06,3.11008e+06,990
136,3.11113e+06,3.11008e+06,990
137,3.11113e+06,3.11008e+06,990
138,3.11164e+06,3.11008e+06,990
139,3.11074e+06,3.11008e+06,990
140,3.11074e+06,3.11008e+06,990
141,3.11074e+06,3.11008e+06,990
142,3.11074e+06,3.11008e+06,990
143,3.11074e+06,3.11008e+06,990
144,3.11074e+06,3.11008e+06,990
145,3.11074e+06,3.11008e+06,990
146,3.11074e+06,3.11008e+06,990
147,3.11074e+06,3.11008e+06,990
148,3.11074e+06,3.11008e+06,990
149,3.11074e+06,3.11008e+06,990
150,3.11109e+06,3.11008e+06,990
151,3.11037e+06,3.11008e+06,990
152,3.11037e+06,3.11008e+06,990
153,3.11037e+06,3.11008e+06,990
154,3.11037e+06,3.11008e+06,990
155,3.11037e+06,3.11008e+06,990
156,3.11037e+06,3.11008e+06,990
157,3.11037e+06,3.11008e+06,990
158,3.11023e+06,3.11008e+06,990
159,3.11023e+06,3.11008e+06,990
160,3.11023e+06,3.11008e+06,990
161,3.11009e+06,3.11008e+06,980.1
162,3.11009e+06,3.11008e+06,980.1
163,3.11009e+06,3.11008e+06,980.1
164,3.11009e+06,3.11008e+06,980.1
165,3.11009e+06,3.11008e+06,980.1
166,3.11009e+06,3.11008e+06,980.1
167,3.11009e+06,3.11008e+06,980.1
168,3.11009e+06,3.11008e+06,980.1
169,3.11009e+06,3.11008e+06,980.1
170,3.11009e+06,3.11008e+06,980.1
171,3.11009e+06,3.11008e+06,980.1
172,3.11009e+06,3.11008e+06,980.1
173,3.11009e+06,3.11008e+06,980.1
174,3.11009e+06,3.11008e+06,980.1
175,3.11009e+06,3.11008e+06,980.1
176,3.11009e+06,3.11008e+06,980.1
177,3.11009e+06,3.11008e+06,980.1
178,3.11024e+06,3.11008e+06,980.1
179,3.11024e+06,3.11008e+06,980.1
180,3.11024e+06,3.11008e+06,980.1
181,3.11024e+06,3.11008e+06,980.1
182,3.11051e+06,3.11008e+06,980.1
183,3.11051e+06,3.11008e+06,980.1
184,3.11099e+06,3.11008e+06,980.1
185,3.11099e+06,3.11008e+06,980.1
186,3.11168e+06,3.11008e+06,980.1
187,3.11139e+06,3.11008e+06,980.1
188,3.11139e+06,3.11008e+06,980.1
189,3.11139e+06,3.11008e+06,980.1
190,3.11139e+06,3.11008e+06,980.1
191,3.11139e+06,3.11008e+06,980.1
192,3.11139e+06,3.11008e+06,980.1
193,3.11139e+06,3.11008e+06,980.1
194,3.11139e+06,3.11008e+06,980.1
195,3.11139e+06,3.11008e+06,980.1
196,3.11139e+06,3.11008e+06,980.1
197,3.11139e+06,3.11008e+06,980.1
198,3.11139e+06,3.11008e+06,980.1
199,3.11139e+06,3.11008e+06,980.1
200,3.11139e+06,3.11008e+06,980.1
201,3.11139e+06,3.11008e+06,980.1
202,3.11139e+06,3.11008e+06,980.1
203,3.11139e+06,3.11008e+06,980.1
204,3.11139e+06,3.11008e+06,980.1
205,3.11146e+06,3.11008e+06,980.1
206,3.11146e+06,3.11008e+06,980.1
207,3.11146e+06,3.11008e+06,980.1
208,3.11146e+06,3.11008e+06,980.1
209,3.11146e+06,3.11008e+06,980.1
210,3.11146e+06,3.11008e+06,980.1
211,3.11146e+06,3.11008e+06,980.1
212,3.11146e+06,3.11008e+06,980.1
213,3.11146e+06,3.11008e+06,980.1
214,3.11226e+06,3.11008e+06,980.1
215,3.11226e+06,3.11008e+06,980.1
216,3.11226e+06,3.11008e+06,980.1
217,3.11226e+06,3.11008e+06,980.1
218,3.11226e+06,3.11008e+06,980.1
219,3.11226e+06,3.11008e+06,980.1
220,3.11226e+06,3.11008e+06,980.1
221,3.11226e+06,3.11008e+06,980.1
222,3.11226e+06,3.11008e+06,980.1
223,3.11229e+06,3.11008e+06,980.1
224,3.11229e+06,3.11008e+06,980.1
225,3.11228e+06,3.11008e+06,980.1
226,3.11139e+06,3.11008e+06,980.1
227,3.11139e+06,3.11008e+06,980.1
228,3.11139e+06,3.11008e+06,980.1
229,3.11139e+06,3.11008e+06,980.1
230,3.11139e+06,3.11008e+06,980.1
231,3.11187e+06,3.11008e+06,980.1
232,3.11187e+06,3.11008e+06,980.1
233,3.11187e+06,3.11008e+06,980.1
234,3.11187e+06,3.11008e+06,980.1
235,3.11187e+06,3.11008e+06,980.1
236,3.11172e+06,3.11008e+06,980.1
237,3.11143e+06,3.11008e+06,980.1
238,3.11143e+06,3.11008e+06,980.1
239,3.11139e+06,3.11008e+06,980.1
240,3.11139e+06,3.11008e+06,980.1
241,3.11139e+06,3.11008e+06,970.299
242,3.11139e+06,3.11008e+06,970.299
243,3.11139e+06,3.11008e+06,970.299
244,3.11139e+06,3.11008e+06,970.299
245,3.11139e+06,3.11008e+06,970.299
246,3.11187e+06,3.11008e+06,970.299
247,3.11187e+06,3.11008e+06,970.299
248,3.11184e+06,3.11008e+06,970.299
249,3.11184e+06,3.11008e+06,970.299
250,3.11184e+06,3.11008e+06,970.299
251,3.11184e+06,3.11008e+06,970.299
252,3.11184e+06,3.11008e+06,970.299
253,3.11148e+06,3.11008e+06,970.299
254,3.11148e+06,3.11008e+06,970.299
255,3.11148e+06,3.11008e+06,970.299
256,3.11148e+06,3.11008e+06,970.299
257,3.11148e+06,3.11008e+06,970.299
258,3.11148e+06,3.11008e+06,970.299
259,3.11148e+06,3.11008e+06,970.299
260,3.11148e+06,3.11008e+06,970.299
261,3.11148e+06,3.11008e+06,970.299
262,3.11148e+06,3.11008e+06,970.299
263,3.11148e+06,3.11008e+06,970.299
264,3.11092e+06,3.11008e+06,970.299
265,3.11146e+06,3.11008e+06,970.299
266,3.11105e+06,3.11008e+06,970.299
267,3.11105e+06,3.11008e+06,970.299
268,3.11105e+06,3.11008e+06,970.299
269,3.11105e+06,3.11008e+06,970.299
270,3.11105e+06,3.11008e+06,970.299
271,3.11105e+06,3.11008e+06,970.299
272,3.11105e+06,3.11008e+06,970.299
273,3.11106e+06,3.11008e+06,970.299
274,3.11106e+06,3.11008e+06,970.299
275,3.11106e+06,3.11008e+06,970.299
276,3.11106e+06,3.11008e+06,970.299
277,3.11106e+06,3.11008e+06,970.299
278,3.11106e+06,3.11008e+06,970.299
279,3.11106e+06,3.11008e+06,970.299
280,3.11106e+06,3.11008e+06,970.299
281,3.11106e+06,3.11008e+06,970.299
282,3.11106e+06,3.11008e+06,970.299
283,3.11106e+06,3.11008e+06,970.299
284,3.11106e+06,3.11008e+06,970.299
285,3.11106e+06,3.11008e+06,970.299
286,3.11106e+06,3.11008e+06,970.299
287,3.11106e+06,3.11008e+06,970.299
288,3.11106e+06,3.11008e+06,970.299
289,3.11147e+06,3.11008e+06,970.299
290,3.11147e+06,3.11008e+06,970.299
291,3.11147e+06,3.11008e+06,970.299
292,3.11147e+06,3.11008e+06,970.299
293,3.11147e+06,3.11008e+06,970.299
294,3.11147e+06,3.11008e+06,970.299
295,3.11147e+06,3.11008e+06,970.299
296,3.11147e+06,3.11008e+06,970.299
297,3.11147e+06,3.11008e+06,970.299
298,3.11147e+06,3.11008e+06,970.299
299,3.11094e+06,3.11008e+06,970.299
300,3.11094e+06,3.11008e+06,970.299
301,3.11094e+06,3.11008e+06,970.299
302,3.11102e+06,3.11008e+06,970.299
303,3.11102e+06,3.11008e+06,970.299
304,3.11102e+06,3.11008e+06,970.299
305,3.11102e+06,3.11008e+06,970.299
306,3.11102e+06,3.11008e+06,970.299
307,3.11102e+06,3.11008e+06,970.299
308,3.11102e+06,3.11008e+06,970.299
309,3.11102e+06,3.11008e+06,970.299
310,3.11102e+06,3.11008e+06,970.299
311,3.11102e+06,3.11008e+06,970.299
312,3.11102e+06,3.11008e+06,970.299
313,3.11102e+06,3.11008e+06,970.299
314,3.11102e+06,3.11008e+06,970.299
315,3.11102e+06,3.11008e+06,970.299
316,3.11102e+06,3.11008e+06,970.299
317,3.11102e+06,3.11008e+06,970.299
318,3.11102e+06,3.11008e+06,970.299
319,3.11102e+06,3.11008e+06,970.299
320,3.11102e+06,3.11008e+06,970.299
321,3.11102e+06,3.11008e+06,960.596
322,3.11102e+06,3.11008e+06,960.596
323,3.11102e+06,3.11008e+06,960.596
324,3.11102e+06,3.11008e+06,960.596
325,3.11102e+06,3.11008e+06,960.596
326,3.11102e+06,3.11008e+06,960.596
327,3.11102e+06,3.11008e+06,960.596
328,3.11102e+06,3.11008e+06,960.596
329,3.11102e+06,3.11008e+06,960.596
330,3.11102e+06,3.11008e+06,960.596
331,3.11102e+06,3.11008e+06,960.596
332,3.11102e+06,3.11008e+06,960.596
333,3.11102e+06,3.11008e+06,960.596
334,3.11102e+06,3.11008e+06,960.596
335,3.11114e+06,3.11008e+06,960.596
336,3.11114e+06,3.11008e+06,960.596
337,3.11114e+06,3.11008e+06,960.596
338,3.11114e+06,3.11008e+06,960.596
339,3.11114e+06,3.11008e+06,960.596
340,3.11114e+06,3.11008e+06,960.596
341,3.11155e+06,3.11008e+06,960.596
342,3.11155e+06,3.11008e+06,960.596
343,3.11155e+06,3.11008e+06,960.596
344,3.11155e+06,3.11008e+06,960.596
345,3.11155e+06,3.11008e+06,960.596
346,3.11126e+06,3.11008e+06,960.596
347,3.11118e+06,3.11008e+06,960.596
348,3.11118e+06,3.11008e+06,960.596
349,3.11118e+06,3.11008e+06,960.596
350,3.11118e+06,3.11008e+06,960.596
351,3.11118e+06,3.11008e+06,960.596
352,3.11118e+06,3.11008e+06,960.596
353,3.11118e+06,3.11008e+06,960.596
354,3.11118e+06,3.11008e+06,960.596
355,3.11118e+06,3.11008e+06,960.596
356,3.11108e+06,3.11008e+06,960.596
357,3.11108e+06,3.11008e+06,960.596
358,3.11108e+06,3.11008e+06,960.596
359,3.11108e+06,3.11008e+06,960.596
360,3.11108e+06,3.11008e+06,960.596
361,3.11108e+06,3.11008e+06,960.596
362,3.11053e+06,3.11008e+06,960.596
363,3.11052e+06,3.11008e+06,960.596
364,3.11052e+06,3.11008e+06,960.596
365,3.11052e+06,3.11008e+06,960.596
366,3.11103e+06,3.11008e+06,960.596
367,3.11094e+06,3.11008e+06,960.596
368,3.11094e+06,3.11008e+06,960.596
369,3.11094e+06,3.11008e+06,960.596
370,3.11094e+06,3.11008e+06,960.596
371,3.11094e+06,3.11008e+06,960.596
372,3.11094e+06,3.11008e+06,960.596
373,3.11094e+06,3.11008e+06,960.596
374,3.11094e+06,3.11008e+06,960.596
375,3.11094e+06,3.11008e+06,960.596
376,3.11094e+06,3.11008e+06,960.596
377,3.11094e+06,3.11008e+06,960.596
378,3.11094e+06,3.11008e+06,960.596
379,3.11094e+06,3.11008e+06,960.596
380,3.11094e+06,3.11008e+06,960.596
381,3.11094e+06,3.11008e+06,960.596
382,3.11094e+06,3.11008e+06,960.596
383,3.11094e+06,3.11008e+06,960.596
384,3.11094e+06,3.11008e+06,960.596
385,3.11094e+06,3.11008e+06,960.596
386,3.11094e+06,3.11008e+06,960.596
387,3.11094e+06,3.11008e+06,960.596
388,3.11094e+06,3.11008e+06,960.596
389,3.11094e+06,3.11008e+06,960.596
390,3.11094e+06,3.11008e+06,960.596
391,3.11103e+06,3.11008e+06,960.596
392,3.11103e+06,3.11008e+06,960.596
393,3.11103e+06,3.11008e+06,960.596
394,3.11103e+06,3.11008e+06,960.596
395,3.11112e+06,3.11008e+06,960.596
396,3.11112e+06,3.11008e+06,960.596
397,3.11112e+06,3.11008e+06,960.596
398,3.11112e+06,3.11008e+06,960.596
399,3.11112e+06,3.11008e+06,960.596
400,3.11112e+06,3.11008e+06,960.596
401,3.11112e+06,3.11008e+06,950.99
402,3.11112e+06,3.11008e+06,950.99
403,3.11112e+06,3.11008e+06,950.99
404,3.11112e+06,3.11008e+06,950.99
405,3.11112e+06,3.11008e+06,950.99
406,3.11113e+06,3.11008e+06,950.99
407,3.11113e+06,3.11008e+06,950.99
408,3.11105e+06,3.11008e+06,950.99
409,3.11105e+06,3.11008e+06,950.99
410,3.11146e+06,3.11008e+06,950.99
411,3.11134e+06,3.11008e+06,950.99
412,3.11134e+06,3.11008e+06,950.99
413,3.11134e+06,3.11008e+06,950.99
414,3.11134e+06,3.11008e+06,950.99
415,3.11134e+06,3.11008e+06,950.99
416,3.11134e+06,3.11008e+06,950.99
417,3.11134e+06,3.11008e+06,950.99
418,3.11143e+06,3.11008e+06,950.99
419,3.11143e+06,3.11008e+06,950.99
420,3.11143e+06,3.11008e+06,950.99
421,3.11141e+06,3.11008e+06,950.99
422,3.11141e+06,3.11008e+06,950.99
423,3.11141e+06,3.11008e+06,950.99
424,3.11141e+06,3.11008e+06,950.99
425,3.11141e+06,3.11008e+06,950.99
426,3.11141e+06,3.11008e+06,950.99
427,3.11141e+06,3.11008e+06,950.99
428,3.11141e+06,3.11008e+06,950.99
429,3.11141e+06,3.11008e+06,950.99
430,3.1114e+06,3.11008e+06,950.99
431,3.11102e+06,3.11008e+06,950.99
432,3.11102e+06,3.11008e+06,950.99
433,3.11102e+06,3.11008e+06,950.99
434,3.11085e+06,3.11008e+06,950.99
435,3.11085e+06,3.11008e+06,950.99
436,3.11085e+06,3.11008e+06,950.99
437,3.11085e+06,3.11008e+06,950.99
438,3.11085e+06,3.11008e+06,950.99
439,3.11085e+06,3.11008e+06,950.99
440,3.11085e+06,3.11008e+06,950.99
441,3.11085e+06,3.11008e+06,950.99
442,3.11085e+06,3.11008e+06,950.99
443,3.11085e+06,3.11008e+06,950.99
444,3.11085e+06,3.11008e+06,950.99
445,3.11085e+06,3.11008e+06,950.99
446,3.11085e+06,3.11008e+06,950.99
447,3.11085e+06,3.11008e+06,950.99
448,3.11085e+06,3.11008e+06,950.99
449,3.11085e+06,3.11008e+06,950.99
450,3.11085e+06,3.11008e+06,950.99
451,3.11085e+06,3.11008e+06,950.99
452,3.11085e+06,3.11008e+06,950.99
453,3.11085e+06,3.11008e+06,950.99
454,3.11174e+06,3.11008e+06,950.99
455,3.11174e+06,3.11008e+06,950.99
456,3.11174e+06,3.11008e+06,950.99
457,3.11215e+06,3.11008e+06,950.99
458,3.11215e+06,3.11008e+06,950.99
459,3.11215e+06,3.11008e+06,950.99
460,3.11215e+06,3.11008e+06,950.99
461,3.11215e+06,3.11008e+06,950.99
462,3.11125e+06,3.11008e+06,950.99
463,3.11125e+06,3.11008e+06,950.99
464,3.11125e+06,3.11008e+06,950.99
465,3.11085e+06,3.11008e+06,950.99
466,3.11085e+06,3.11008e+06,950.99
467,3.11085e+06,3.11008e+06,950.99
468,3.11085e+06,3.11008e+06,950.99
469,3.11085e+06,3.11008e+06,950.99
470,3.11085e+06,3.11008e+06,950.99
471,3.11085e+06,3.11008e+06,950.99
472,3.11085e+06,3.11008e+06,950.99
473,3.11085e+06,3.11008e+06,950.99
474,3.11085e+06,3.11008e+06,950.99
475,3.11094e+06,3.11008e+06,950.99
476,3.1106e+06,3.11008e+06,950.99
477,3.1106e+06,3.11008e+06,950.99
